,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
1378,CAESARS ENTERTAINMENT CORP,CZR,NASDAQ,$9,"1,811,313","$16,301,817",2/8/2012,http://www.nasdaq.com/markets/ipos/company/caesars-entertainment-corp-10936-68632
1379,"EPAM SYSTEMS, INC.",EPAM,New York Stock Exchange,$12,"6,000,000","$72,000,000",2/8/2012,http://www.nasdaq.com/markets/ipos/company/epam-systems-inc-698144-67380
1380,"CEMPRA, INC.",CEMP,NASDAQ,$6,"8,400,000","$50,400,000",2/3/2012,http://www.nasdaq.com/markets/ipos/company/cempra-inc-805275-68346
1381,AVG TECHNOLOGIES N.V.,AVG,New York Stock Exchange,$16,"8,000,000","$128,000,000",2/2/2012,http://www.nasdaq.com/markets/ipos/company/avg-technologies-nv-871866-69026
1382,GREENWAY MEDICAL TECHNOLOGIES INC,GWAY,New York Stock Exchange,$10,"6,666,667","$66,666,670",2/2/2012,http://www.nasdaq.com/markets/ipos/company/greenway-medical-technologies-inc-99155-67687
1383,MATADOR RESOURCES CO,MTDR,New York Stock Exchange,$12,"13,333,334","$160,000,008",2/2/2012,http://www.nasdaq.com/markets/ipos/company/matador-resources-co-861962-67914
1384,"U.S. SILICA HOLDINGS, INC.",SLCA,New York Stock Exchange,$17,"11,764,705","$199,999,985",2/1/2012,http://www.nasdaq.com/markets/ipos/company/us-silica-holdings-inc-860113-67694
1385,"ENPHASE ENERGY, INC.",ENPH,NASDAQ,$6,"8,969,697","$53,818,182",3/30/2012,http://www.nasdaq.com/markets/ipos/company/enphase-energy-inc-804337-67429
1386,GASLOG LTD.,GLOG,New York Stock Exchange,$14,"23,500,000","$329,000,000",3/30/2012,http://www.nasdaq.com/markets/ipos/company/gaslog-ltd-872099-69045
1387,MERRIMACK PHARMACEUTICALS INC,MACK,NASDAQ,$7,"14,300,000","$100,100,000",3/29/2012,http://www.nasdaq.com/markets/ipos/company/merrimack-pharmaceuticals-inc-615489-67626
1388,MILLENNIAL MEDIA INC.,MM,New York Stock Exchange,$13,"10,200,000","$132,600,000",3/29/2012,http://www.nasdaq.com/markets/ipos/company/millennial-media-inc-718200-68982
1389,CAFEPRESS INC.,PRSS,NASDAQ,$19,"4,500,000","$85,500,000",3/29/2012,http://www.nasdaq.com/markets/ipos/company/cafepress-inc-147807-67381
1390,REXNORD CORP,RXN,New York Stock Exchange,$18,"23,684,211","$426,315,798",3/29/2012,http://www.nasdaq.com/markets/ipos/company/rexnord-corp-783169-67254
1391,REGIONAL MANAGEMENT CORP.,RM,New York Stock Exchange,$15,"4,200,000","$63,000,000",3/28/2012,http://www.nasdaq.com/markets/ipos/company/regional-management-corp-855545-67150
1392,"ANNIE'S, INC.",BNNY,New York Stock Exchange,$19,"5,000,000","$95,000,000",3/28/2012,http://www.nasdaq.com/markets/ipos/company/annies-inc-775326-68736
1393,TEUCRIUM COMMODITY TRUST,TAGS,New York Stock Exchange,$50,"5,000,000","$250,000,000",3/28/2012,http://www.nasdaq.com/markets/ipos/company/teucrium-commodity-trust-812164-66936
1394,"VOCERA COMMUNICATIONS, INC.",VCRA,New York Stock Exchange,$16,"5,850,000","$93,600,000",3/28/2012,http://www.nasdaq.com/markets/ipos/company/vocera-communications-inc-113414-67808
1395,VIPSHOP HOLDINGS LTD,VIPS,New York Stock Exchange,$6.50,"11,004,600","$71,529,900",3/23/2012,http://www.nasdaq.com/markets/ipos/company/vipshop-holdings-ltd-874928-69246
1396,WHITING PETROLEUM CORP,WHZ,New York Stock Exchange,$20,"16,000,000","$320,000,000",3/23/2012,http://www.nasdaq.com/markets/ipos/company/whiting-petroleum-corp-420440-68841
1397,"VANTIV, INC.",VNTV,New York Stock Exchange,$17,"29,412,000","$500,004,000",3/22/2012,http://www.nasdaq.com/markets/ipos/company/vantiv-inc-867671-68582
1398,CAESARSTONE SDOT-YAM LTD.,CSTE,NASDAQ,$11,"6,660,000","$73,260,000",3/22/2012,http://www.nasdaq.com/markets/ipos/company/caesarstone-sdotyam-ltd-874824-69235
1399,"EXACTTARGET, INC.",ET,New York Stock Exchange,$19,"8,500,000","$161,500,000",3/22/2012,http://www.nasdaq.com/markets/ipos/company/exacttarget-inc-764866-68688
1400,BGS ACQUISITION CORP.,BGSCU,NASDAQ,$10,"4,000,000","$40,000,000",3/21/2012,http://www.nasdaq.com/markets/ipos/company/bgs-acquisition-corp-870797-68926
1401,TECNOGLASS INC.,ANDAU,NASDAQ,$10,"4,000,000","$40,000,000",3/19/2012,http://www.nasdaq.com/markets/ipos/company/tecnoglass-inc-868381-68659
1402,ALLISON TRANSMISSION HOLDINGS INC,ALSN,New York Stock Exchange,$23,"26,100,000","$600,300,000",3/15/2012,http://www.nasdaq.com/markets/ipos/company/allison-transmission-holdings-inc-755761-66605
1403,DEMANDWARE INC,DWRE,New York Stock Exchange,$16,"5,500,000","$88,000,000",3/15/2012,http://www.nasdaq.com/markets/ipos/company/demandware-inc-647034-67680
1404,"M/A-COM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",MTSI,NASDAQ,$19,"6,000,000","$114,000,000",3/15/2012,http://www.nasdaq.com/markets/ipos/company/macom-technology-solutions-holdings-inc-830087-67811
1405,"MOJO DATA SOLUTIONS, INC.",AUTT,OTCBB,$0.30,"1,011,600","$303,480",3/14/2012,http://www.nasdaq.com/markets/ipos/company/mojo-data-solutions-inc-857882-67449
1406,NATIONSTAR MORTGAGE HOLDINGS INC.,NSM,New York Stock Exchange,$14,"16,666,667","$233,333,338",3/8/2012,http://www.nasdaq.com/markets/ipos/company/nationstar-mortgage-holdings-inc-855544-67149
1407,SELECT INCOME REIT,SIR,New York Stock Exchange,$21.50,"8,000,000","$172,000,000",3/7/2012,http://www.nasdaq.com/markets/ipos/company/select-income-reit-870575-68892
1408,YELP INC,YELP,New York Stock Exchange,$15,"7,150,000","$107,250,000",3/2/2012,http://www.nasdaq.com/markets/ipos/company/yelp-inc-691649-68649
1409,"AMERICAN REALTY CAPITAL TRUST, INC.",ARCT,NASDAQ,$6,"6,600,000","$39,600,000",3/1/2012,http://www.nasdaq.com/markets/ipos/company/american-realty-capital-trust-inc-756351-69226
1410,ACQUITY GROUP LTD,AQ,American Stock Exchange,$6,"5,555,556","$33,333,336",4/27/2012,http://www.nasdaq.com/markets/ipos/company/acquity-group-ltd-876716-69363
1411,EDGEN GROUP INC.,EDG,New York Stock Exchange,$11,"15,000,000","$165,000,000",4/27/2012,http://www.nasdaq.com/markets/ipos/company/edgen-group-inc-870825-68936
1412,ARES COMMERCIAL REAL ESTATE CORP,ACRE,New York Stock Exchange,$18.50,"7,700,000","$142,450,000",4/26/2012,http://www.nasdaq.com/markets/ipos/company/ares-commercial-real-estate-corp-863757-68164
1413,ENVIVIO INC,ENVI,NASDAQ,$9,"7,755,000","$69,795,000",4/25/2012,http://www.nasdaq.com/markets/ipos/company/envivio-inc-111175-66867
1414,CLEARSIGN COMBUSTION CORP,CLIR,NASDAQ,$4,"3,000,000","$12,000,000",4/25/2012,http://www.nasdaq.com/markets/ipos/company/clearsign-combustion-corp-777788-68613
1415,INFOBLOX INC,BLOX,New York Stock Exchange,$16,"7,500,000","$120,000,000",4/20/2012,http://www.nasdaq.com/markets/ipos/company/infoblox-inc-401158-68992
1416,"GREEN BALLAST, INC.",GBLL,OTCBB,$0.48,"24,450,400","$11,736,192",4/20/2012,http://www.nasdaq.com/markets/ipos/company/green-ballast-inc-860951-68462
1417,"MIDSTATES PETROLEUM COMPANY, INC.",MPO,New York Stock Exchange,$13,"24,000,000","$312,000,000",4/20/2012,http://www.nasdaq.com/markets/ipos/company/midstates-petroleum-company-inc-867950-68626
1418,PROOFPOINT INC,PFPT,NASDAQ,$13,"6,329,421","$82,282,473",4/20/2012,http://www.nasdaq.com/markets/ipos/company/proofpoint-inc-389844-68813
1419,SPLUNK INC,SPLK,NASDAQ,$17,"13,500,000","$229,500,000",4/19/2012,http://www.nasdaq.com/markets/ipos/company/splunk-inc-699512-69023
1420,"TUMI HOLDINGS, INC.",TUMI,New York Stock Exchange,$18,"18,779,865","$338,037,570",4/19/2012,http://www.nasdaq.com/markets/ipos/company/tumi-holdings-inc-869627-68806
1421,SANDRIDGE ENERGY INC,SDR,New York Stock Exchange,$21,"26,000,000","$546,000,000",4/18/2012,http://www.nasdaq.com/markets/ipos/company/sandridge-energy-inc-696018-68976
1422,DIGITAL CINEMA DESTINATIONS CORP.,DCIN,NASDAQ,$6.10,"2,200,000","$13,420,000",4/17/2012,http://www.nasdaq.com/markets/ipos/company/digital-cinema-destinations-corp-845674-68863
1423,MRC GLOBAL INC.,MRC,New York Stock Exchange,$21,"22,727,273","$477,272,733",4/12/2012,http://www.nasdaq.com/markets/ipos/company/mrc-global-inc-785894-69020
1424,"FORUM ENERGY TECHNOLOGIES, INC.",FET,New York Stock Exchange,$20,"18,947,366","$378,947,320",4/12/2012,http://www.nasdaq.com/markets/ipos/company/forum-energy-technologies-inc-745737-68060
1425,"OAKTREE CAPITAL GROUP, LLC",OAK,New York Stock Exchange,$43,"8,843,023","$380,249,989",4/12/2012,http://www.nasdaq.com/markets/ipos/company/oaktree-capital-group-llc-752340-67446
1426,ERICKSON INC.,EAC,NASDAQ,$8,"4,800,000","$38,400,000",4/11/2012,http://www.nasdaq.com/markets/ipos/company/erickson-inc-828320-64139
1427,"MISTER GOODY, INC.",MSGO,OTCBB,$0.35,"400,000","$140,000",4/10/2012,http://www.nasdaq.com/markets/ipos/company/mister-goody-inc-850114-67432
1428,"RETAIL PROPERTIES OF AMERICA, INC.",RPAI,New York Stock Exchange,$8,"31,800,000","$254,400,000",4/5/2012,http://www.nasdaq.com/markets/ipos/company/retail-properties-of-america-inc-400362-66372
1429,FACEBOOK INC,FB,Nasdaq Global Market,$38,"421,233,615","$16,006,877,370",5/18/2012,http://www.nasdaq.com/markets/ipos/company/facebook-inc-673740-69138
1430,EDWARDS GROUP LTD,EVAC,NASDAQ,$8,"12,500,000","$100,000,000",5/11/2012,http://www.nasdaq.com/markets/ipos/company/edwards-group-ltd-877786-69467
1431,"IGNITE RESTAURANT GROUP, INC.",IRG,NASDAQ,$14,"5,769,231","$80,769,234",5/11/2012,http://www.nasdaq.com/markets/ipos/company/ignite-restaurant-group-inc-861014-67789
1432,AUDIENCE INC,ADNC,NASDAQ,$17,"5,270,180","$89,593,060",5/10/2012,http://www.nasdaq.com/markets/ipos/company/audience-inc-383417-69037
1433,"WAGEWORKS, INC.",WAGE,New York Stock Exchange,$9,"6,500,000","$58,500,000",5/10/2012,http://www.nasdaq.com/markets/ipos/company/wageworks-inc-99738-66946
1434,WESTERN ASSET MORTGAGE CAPITAL CORP,WMC,New York Stock Exchange,$20,"8,000,000","$160,000,000",5/10/2012,http://www.nasdaq.com/markets/ipos/company/western-asset-mortgage-capital-corp-806689-61292
1435,"ANTRIABIO, INC.",FMYY,OTCBB,$0.05,"786,000","$39,300",5/8/2012,http://www.nasdaq.com/markets/ipos/company/antriabio-inc-855612-67420
1436,"TILLY'S, INC.",TLYS,New York Stock Exchange,$15.50,"8,000,000","$124,000,000",5/4/2012,http://www.nasdaq.com/markets/ipos/company/tillys-inc-859034-67566
1437,PETROLOGISTICS LP,PDH,New York Stock Exchange,$17,"35,000,000","$595,000,000",5/4/2012,http://www.nasdaq.com/markets/ipos/company/petrologistics-lp-857973-67458
1438,PACIFIC COAST OIL TRUST,ROYT,New York Stock Exchange,$20,"18,500,000","$370,000,000",5/3/2012,http://www.nasdaq.com/markets/ipos/company/pacific-coast-oil-trust-871399-68994
1439,CARLYLE GROUP L.P.,CG,NASDAQ,$22,"30,500,000","$671,000,000",5/3/2012,http://www.nasdaq.com/markets/ipos/company/carlyle-group-lp-863136-68088
1440,EVERBANK FINANCIAL CORP,EVER,New York Stock Exchange,$10,"19,220,000","$192,200,000",5/3/2012,http://www.nasdaq.com/markets/ipos/company/everbank-financial-corp-838700-65365
1441,SUPERNUS PHARMACEUTICALS INC,SUPN,NASDAQ,$5,"10,000,000","$50,000,000",5/1/2012,http://www.nasdaq.com/markets/ipos/company/supernus-pharmaceuticals-inc-702676-66013
1442,"SERVICENOW, INC.",NOW,New York Stock Exchange,$18,"11,650,000","$209,700,000",6/29/2012,http://www.nasdaq.com/markets/ipos/company/servicenow-inc-719285-69544
1443,"TESARO, INC.",TSRO,NASDAQ,$13.50,"6,000,000","$81,000,000",6/28/2012,http://www.nasdaq.com/markets/ipos/company/tesaro-inc-828993-69487
1444,EXA CORP,EXA,NASDAQ,$10,"6,250,000","$62,500,000",6/28/2012,http://www.nasdaq.com/markets/ipos/company/exa-corp-338909-67839
1445,"EQT MIDSTREAM PARTNERS, LP",EQM,New York Stock Exchange,$21,"12,500,000","$262,500,000",6/27/2012,http://www.nasdaq.com/markets/ipos/company/eqt-midstream-partners-lp-874149-69201
1446,CENCOSUD S.A.,CNCO,New York Stock Exchange,$15.61,"15,265,783","$238,298,873",6/22/2012,http://www.nasdaq.com/markets/ipos/company/cencosud-sa-882830-70005
1447,STREAM EXCHANGE TRADED TRUST,BNPC,New York Stock Exchange,$25,"25,000,000","$625,000,000",6/6/2012,http://www.nasdaq.com/markets/ipos/company/stream-exchange-traded-trust-840573-65551
1448,GLOBAL GREEN INC.,GOGC,OTCBB,$0.20,"147,516,080","$29,503,216",6/5/2012,http://www.nasdaq.com/markets/ipos/company/global-green-inc-857236-67391
1449,"AMREIT, INC.",AMRE,New York Stock Exchange,$14,"3,650,000","$51,100,000",7/27/2012,http://www.nasdaq.com/markets/ipos/company/amreit-inc-745755-67703
1450,"DEL FRISCO'S RESTAURANT GROUP, INC.",DFRG,NASDAQ,$13,"5,800,000","$75,400,000",7/27/2012,http://www.nasdaq.com/markets/ipos/company/del-friscos-restaurant-group-inc-760027-69084
1451,E2OPEN INC,EOPN,NASDAQ,$15,"4,687,500","$70,312,500",7/26/2012,http://www.nasdaq.com/markets/ipos/company/e2open-inc-874854-69236
1452,HYPERION THERAPEUTICS INC,HPTX,NASDAQ,$10,"5,000,000","$50,000,000",7/26/2012,http://www.nasdaq.com/markets/ipos/company/hyperion-therapeutics-inc-732504-69642
1453,NORTHERN TIER ENERGY LP,NTI,New York Stock Exchange,$14,"16,250,000","$227,500,000",7/26/2012,http://www.nasdaq.com/markets/ipos/company/northern-tier-energy-lp-869591-68800
1454,"NATURAL GROCERS BY VITAMIN COTTAGE, INC.",NGVC,New York Stock Exchange,$15,"7,142,857","$107,142,855",7/25/2012,http://www.nasdaq.com/markets/ipos/company/natural-grocers-by-vitamin-cottage-inc-884127-70144
1455,EUROSITE POWER INC.,EUSP,OTCBB,$1.25,"15,000,000","$18,750,000",7/25/2012,http://www.nasdaq.com/markets/ipos/company/eurosite-power-inc-862161-70314
1456,"CHUY'S HOLDINGS, INC.",CHUY,NASDAQ,$13,"5,833,333","$75,833,329",7/24/2012,http://www.nasdaq.com/markets/ipos/company/chuys-holdings-inc-861521-67870
1457,PALO ALTO NETWORKS INC,PANW,New York Stock Exchange,$42,"6,200,000","$260,400,000",7/20/2012,http://www.nasdaq.com/markets/ipos/company/palo-alto-networks-inc-674528-69601
1458,INFINITY CROSS BORDER ACQUISITION CORP,INXBU,NASDAQ,$8,"5,000,000","$40,000,000",7/20/2012,http://www.nasdaq.com/markets/ipos/company/infinity-cross-border-acquisition-corp-853166-66894
1459,KAYAK SOFTWARE CORP,KYAK,NASDAQ,$26,"3,500,000","$91,000,000",7/20/2012,http://www.nasdaq.com/markets/ipos/company/kayak-software-corp-659492-65680
1460,"VAPORIN, INC.",VGLD,OTCBB,$0.08,"5,333,333","$426,667",7/19/2012,http://www.nasdaq.com/markets/ipos/company/vaporin-inc-843700-65977
1461,"DURATA THERAPEUTICS, INC.",DRTX,NASDAQ,$9,"7,500,000","$67,500,000",7/19/2012,http://www.nasdaq.com/markets/ipos/company/durata-therapeutics-inc-877902-69473
1462,"FIVE BELOW, INC",FIVE,NASDAQ,$17,"9,615,384","$163,461,528",7/19/2012,http://www.nasdaq.com/markets/ipos/company/five-below-inc-373747-69679
1463,"FS BANCORP, INC.",FSBW,NASDAQ,$10,"2,817,500","$28,175,000",7/10/2012,http://www.nasdaq.com/markets/ipos/company/fs-bancorp-inc-864804-68281
1464,VYCOR MEDICAL INC,VYCO,OTCBB,$0.04,"93,602,221","$3,744,089",8/22/2012,http://www.nasdaq.com/markets/ipos/company/vycor-medical-inc-772608-57908
1465,HI-CRUSH PARTNERS LP,HCLP,New York Stock Exchange,$17,"11,250,000","$191,250,000",8/16/2012,http://www.nasdaq.com/markets/ipos/company/hicrush-partners-lp-885352-70288
1466,MANCHESTER UNITED PLC,MANU,New York Stock Exchange,$14,"16,666,667","$233,333,338",8/10/2012,http://www.nasdaq.com/markets/ipos/company/manchester-united-plc-885184-70269
1467,PERFORMANT FINANCIAL CORP,PFMT,NASDAQ,$9,"9,000,000","$81,000,000",8/10/2012,http://www.nasdaq.com/markets/ipos/company/performant-financial-corp-885163-70264
1468,PEREGRINE SEMICONDUCTOR CORP,PSMI,NASDAQ,$14,"5,500,000","$77,000,000",8/8/2012,http://www.nasdaq.com/markets/ipos/company/peregrine-semiconductor-corp-377256-65718
1469,"BLOOMIN' BRANDS, INC.",BLMN,NASDAQ,$11,"16,000,000","$176,000,000",8/8/2012,http://www.nasdaq.com/markets/ipos/company/bloomin-brands-inc-879125-69597
1470,GLOBUS MEDICAL INC,GMED,New York Stock Exchange,$12,"8,333,333","$99,999,996",8/3/2012,http://www.nasdaq.com/markets/ipos/company/globus-medical-inc-409317-69524
1471,"ELOQUA, INC.",ELOQ,NASDAQ,$11.50,"8,000,000","$92,000,000",8/2/2012,http://www.nasdaq.com/markets/ipos/company/eloqua-inc-720646-68010
1472,HYDE PARK ACQUISITION CORP. II,HPAC,NASDAQ,$10,"7,500,000","$75,000,000",8/2/2012,http://www.nasdaq.com/markets/ipos/company/hyde-park-acquisition-corp-ii-854787-67055
1473,"QUALYS, INC.",QLYS,NASDAQ,$12,"7,575,000","$90,900,000",9/28/2012,http://www.nasdaq.com/markets/ipos/company/qualys-inc-375214-70088
1474,"SUMMIT MIDSTREAM PARTNERS, LP",SMLP,New York Stock Exchange,$20,"12,500,000","$250,000,000",9/28/2012,http://www.nasdaq.com/markets/ipos/company/summit-midstream-partners-lp-888110-70595
1475,"SANTANDER MEXICO FINANCIAL GROUP, S.A.B. DE C.V.",BSMX,New York Stock Exchange,$12.18,"238,232,161","$2,901,667,721",9/26/2012,http://www.nasdaq.com/markets/ipos/company/santander-mexico-financial-group-sab-de-cv-887985-70579
1476,CAPITAL BANK FINANCIAL CORP.,CBF,NASDAQ,$18,"10,000,000","$180,000,000",9/20/2012,http://www.nasdaq.com/markets/ipos/company/capital-bank-financial-corp-818543-67492
1477,NATIONAL BANK HOLDINGS CORP,NBHC,New York Stock Exchange,$19.25,"7,150,000","$137,637,500",9/20/2012,http://www.nasdaq.com/markets/ipos/company/national-bank-holdings-corp-815033-68629
1478,"SPIRIT REALTY CAPITAL, INC.",SRC,New York Stock Exchange,$15,"29,000,000","$435,000,000",9/20/2012,http://www.nasdaq.com/markets/ipos/company/spirit-realty-capital-inc-617470-68594
1479,SUNOCO LP,SUSP,New York Stock Exchange,$20.50,"9,500,000","$194,750,000",9/20/2012,http://www.nasdaq.com/markets/ipos/company/sunoco-lp-884445-70181
1480,"TRULIA, INC.",TRLA,New York Stock Exchange,$17,"6,000,000","$102,000,000",9/20/2012,http://www.nasdaq.com/markets/ipos/company/trulia-inc-695941-70564
1481,"ENDEAVOR IP, INC.",FNTU,OTCBB,$1.40,"3,000,000","$4,200,000",9/5/2012,http://www.nasdaq.com/markets/ipos/company/endeavor-ip-inc-848986-66453
1482,KBS FASHION GROUP LTD,AQUUU,NASDAQ,$10,"5,000,000","$50,000,000",10/26/2012,http://www.nasdaq.com/markets/ipos/company/kbs-fashion-group-ltd-878965-69583
1483,NUVEEN LONG/SHORT COMMODITY TOTAL RETURN FUND,CTF,American Stock Exchange,$25,"18,800,000","$470,000,000",10/26/2012,http://www.nasdaq.com/markets/ipos/company/nuveen-longshort-commodity-total-return-fund-857118-67356
1484,MPLX LP,MPLX,New York Stock Exchange,$22,"17,300,000","$380,600,000",10/26/2012,http://www.nasdaq.com/markets/ipos/company/mplx-lp-885065-70255
1485,WHITEWAVE FOODS CO,WWAV,New York Stock Exchange,$17,"23,000,000","$391,000,000",10/26/2012,http://www.nasdaq.com/markets/ipos/company/whitewave-foods-co-887169-70473
1486,METHES ENERGIES INTERNATIONAL LTD,MEILU,NASDAQ,$5,"560,000","$2,800,000",10/25/2012,http://www.nasdaq.com/markets/ipos/company/methes-energies-international-ltd-779843-70192
1487,CROSSAMERICA PARTNERS LP,LGP,New York Stock Exchange,$20,"6,000,000","$120,000,000",10/25/2012,http://www.nasdaq.com/markets/ipos/company/crossamerica-partners-lp-881757-69895
1488,COLLABRIUM JAPAN ACQUISITION CORP,JACQU,NASDAQ,$10,"4,000,000","$40,000,000",10/19/2012,http://www.nasdaq.com/markets/ipos/company/collabrium-japan-acquisition-corp-889090-70716
1489,SEADRILL PARTNERS LLC,SDLP,New York Stock Exchange,$22,"8,750,000","$192,500,000",10/19/2012,http://www.nasdaq.com/markets/ipos/company/seadrill-partners-llc-889912-70818
1490,SERVICE TEAM INC.,SVTE,OTCBB,$1,"5,000,000","$5,000,000",10/17/2012,http://www.nasdaq.com/markets/ipos/company/service-team-inc-868805-70912
1491,"WORKDAY, INC.",WDAY,New York Stock Exchange,$28,"22,750,000","$637,000,000",10/12/2012,http://www.nasdaq.com/markets/ipos/company/workday-inc-674590-70656
1492,"DIAMONDBACK ENERGY, INC.",FANG,NASDAQ,$17.50,"12,500,000","$218,750,000",10/12/2012,http://www.nasdaq.com/markets/ipos/company/diamondback-energy-inc-874323-69211
1493,"LINN ENERGY, LLC",LNCO,NASDAQ,$36.50,"30,250,000","$1,104,125,000",10/12/2012,http://www.nasdaq.com/markets/ipos/company/linn-energy-llc-676038-70193
1494,INTERCEPT PHARMACEUTICALS INC,ICPT,NASDAQ,$15,"5,000,000","$75,000,000",10/11/2012,http://www.nasdaq.com/markets/ipos/company/intercept-pharmaceuticals-inc-605285-70681
1495,KYTHERA BIOPHARMACEUTICALS INC,KYTH,NASDAQ,$16,"4,400,000","$70,400,000",10/11/2012,http://www.nasdaq.com/markets/ipos/company/kythera-biopharmaceuticals-inc-779580-69946
1496,"SHUTTERSTOCK, INC.",SSTK,New York Stock Exchange,$17,"4,500,000","$76,500,000",10/11/2012,http://www.nasdaq.com/markets/ipos/company/shutterstock-inc-881786-69899
1497,REALOGY HOLDINGS CORP.,RLGY,New York Stock Exchange,$27,"40,000,000","$1,080,000,000",10/11/2012,http://www.nasdaq.com/markets/ipos/company/realogy-holdings-corp-743581-70078
1498,AMBARELLA INC,AMBA,NASDAQ,$6,"6,000,000","$36,000,000",10/10/2012,http://www.nasdaq.com/markets/ipos/company/ambarella-inc-622350-67386
1499,AMIRA NATURE FOODS LTD.,ANFI,New York Stock Exchange,$10,"9,000,000","$90,000,000",10/10/2012,http://www.nasdaq.com/markets/ipos/company/amira-nature-foods-ltd-888611-70645
1500,FLEETMATICS GROUP PLC,FLTX,New York Stock Exchange,$17,"7,812,500","$132,812,500",10/5/2012,http://www.nasdaq.com/markets/ipos/company/fleetmatics-group-plc-888051-70588
1501,BERRY PLASTICS GROUP INC,BERY,New York Stock Exchange,$16,"29,411,764","$470,588,224",10/4/2012,http://www.nasdaq.com/markets/ipos/company/berry-plastics-group-inc-724283-69480
